Iteration,birefringence active L2,birefringence active negative penalty
1,1.0938341617584229,0.0
2,1.0880944728851318,0.0
3,1.0819017887115479,0.0
4,1.074414610862732,0.0
5,1.0653648376464844,0.0
6,1.0546939373016357,0.0
7,1.0424748659133911,0.0
8,1.0289020538330078,0.0
9,1.0140966176986694,0.0
10,0.9981616139411926,0.0
11,0.981044590473175,0.0
12,0.964654266834259,0.0
13,0.9479993581771851,0.0
14,0.9320926666259766,0.0
15,0.9156594276428223,0.0
16,0.9005861282348633,0.0
17,0.88573157787323,0.0
18,0.8715240955352783,0.0
19,0.857416033744812,0.0
20,0.8435525298118591,0.0
21,0.8300225138664246,0.0
22,0.8167668581008911,0.0
23,0.8039674758911133,0.0
24,0.7914343476295471,0.0
25,0.7792761325836182,0.0
26,0.7673155665397644,0.0
27,0.7556570172309875,0.0
28,0.7441561222076416,0.0
29,0.7329426407814026,0.0
30,0.7218747138977051,0.0
31,0.7110753655433655,0.0
32,0.7003746032714844,0.0
33,0.6899367570877075,0.0
34,0.6795490384101868,0.0
35,0.6694256067276001,0.0
36,0.6593303084373474,0.0
37,0.6495304107666016,0.0
38,0.6397415399551392,0.0
39,0.6302438974380493,0.0
40,0.6207320690155029,0.0
41,0.6115075349807739,0.0
42,0.6022772789001465,0.0
43,0.5933433175086975,0.0
44,0.5843898057937622,0.0
45,0.575724184513092,0.0
46,0.5670745372772217,0.0
47,0.5586900115013123,0.0
48,0.5503224730491638,0.0
49,0.5421772599220276,0.0
50,0.5340797305107117,0.0
51,0.5261627435684204,0.0
52,0.518286943435669,0.0
53,0.5105434656143188,0.0
54,0.5028447508811951,0.0
55,0.4952223300933838,0.0
56,0.4876525402069092,0.0
57,0.48013994097709656,0.0
58,0.47272858023643494,0.0
59,0.4653719663619995,0.0
60,0.45815420150756836,0.0
61,0.4509975016117096,0.0
62,0.4440091848373413,0.0
63,0.4370999038219452,0.0
64,0.4303484261035919,0.0
65,0.4236742854118347,0.0
66,0.4171428382396698,0.0
67,0.4106971025466919,0.0
68,0.4043768644332886,0.0
69,0.3981315791606903,0.0
70,0.39200225472450256,0.0
71,0.3859463930130005,0.0
72,0.3799906075000763,0.0
73,0.3741067051887512,0.0
