Iteration,birefringence active L2,birefringence active negative penalty
1,0.7367404103279114,0.0
2,0.7328771948814392,0.0
3,0.7288759350776672,0.0
4,0.724185049533844,0.0
5,0.7186691164970398,0.0
6,0.7122697830200195,0.0
7,0.7049232721328735,0.0
8,0.6965598464012146,0.0
9,0.6871283650398254,0.0
10,0.6765998005867004,0.0
11,0.6649486422538757,0.0
12,0.6531950831413269,0.0
13,0.6413161754608154,0.0
14,0.6293002963066101,0.0
15,0.6171382069587708,0.0
16,0.6048211455345154,0.0
17,0.5923407673835754,0.0
18,0.5796917676925659,0.0
19,0.5668740272521973,0.0
20,0.5538953542709351,0.0
21,0.5407708287239075,0.0
22,0.5275241732597351,0.0
23,0.514185905456543,0.0
24,0.5007922649383545,0.0
25,0.48738324642181396,0.0
26,0.4740002155303955,0.0
27,0.46068477630615234,0.0
28,0.447476863861084,0.0
29,0.4344140291213989,0.0
30,0.42153018712997437,0.0
31,0.40885546803474426,0.0
32,0.39641594886779785,0.0
33,0.38423362374305725,0.0
34,0.37232640385627747,0.0
35,0.3607085347175598,0.0
36,0.34939080476760864,0.0
37,0.3383808434009552,0.0
38,0.3276834785938263,0.0
39,0.3173011541366577,0.0
40,0.30723410844802856,0.0
41,0.2974805533885956,0.0
42,0.2880374491214752,0.0
43,0.27890002727508545,0.0
44,0.27006271481513977,0.0
45,0.2615188658237457,0.0
46,0.2532612085342407,0.0
47,0.2452819049358368,0.0
48,0.23757271468639374,0.0
49,0.23012511432170868,0.0
50,0.22293056547641754,0.0
51,0.21598033607006073,0.0
52,0.20926575362682343,0.0
53,0.20277830958366394,0.0
54,0.19650961458683014,0.0
55,0.19045142829418182,0.0
56,0.18459582328796387,0.0
57,0.17893509566783905,0.0
58,0.17346177995204926,0.0
59,0.1681688129901886,0.0
60,0.16304931044578552,0.0
61,0.15809670090675354,0.0
62,0.15330471098423004,0.0
63,0.14866729080677032,0.0
64,0.14417855441570282,0.0
65,0.13983289897441864,0.0
66,0.13562509417533875,0.0
67,0.13155055046081543,0.0
68,0.12760518491268158,0.0
69,0.12378519773483276,0.0
70,0.12008784711360931,0.0
71,0.11651130765676498,0.0
72,0.11305399239063263,0.0
73,0.10971494764089584,0.0
74,0.10649312287569046,0.0
75,0.10338591784238815,0.0
76,0.10038810223340988,0.0
77,0.09749265760183334,0.0
78,0.0946928858757019,0.0
79,0.09198357164859772,0.0
80,0.08936047554016113,0.0
81,0.0868198573589325,0.0
82,0.08435826748609543,0.0
83,0.0819724053144455,0.0
84,0.07965927571058273,0.0
85,0.07741597294807434,0.0
86,0.07523990422487259,0.0
87,0.07312866300344467,0.0
88,0.07107999175786972,0.0
89,0.06909186393022537,0.0
90,0.06716234236955643,0.0
91,0.06528966128826141,0.0
92,0.06347214430570602,0.0
93,0.06170818954706192,0.0
94,0.05999630317091942,0.0
95,0.058335039764642715,0.0
96,0.05672299116849899,0.0
97,0.05515880882740021,0.0
98,0.0536411851644516,0.0
99,0.05216886103153229,0.0
100,0.05074057728052139,0.0
