Total Loss,Data Term Loss,Regularization Term Loss,Optic Axis Learning Rate,Birefringence Learning Rate
2.1826303005218506,1.4683445692062378,0.7142857313156128,0.019000000000000003,1.9e-05
2.2024900913238525,1.4910690784454346,0.711421012878418,0.028000000000000004,2.8000000000000003e-05
2.20275616645813,1.4944725036621094,0.7082836031913757,0.037,3.7e-05
2.197629928588867,1.4932103157043457,0.704419732093811,0.04600000000000001,4.600000000000001e-05
2.194763660430908,1.495100975036621,0.6996627449989319,0.05500000000000001,5.500000000000001e-05
2.186563491821289,1.4926798343658447,0.6938836574554443,0.064,6.400000000000001e-05
2.188108205795288,1.5010569095611572,0.6870512366294861,0.073,5.84e-05
2.1787197589874268,1.4996408224105835,0.6790788769721985,0.08200000000000002,8.200000000000001e-05
2.160865306854248,1.4908744096755981,0.6699908375740051,0.09100000000000001,9.1e-05
2.1530585289001465,1.4932276010513306,0.6598309278488159,0.1,0.0001
