Iteration,birefringence active L2,birefringence active negative penalty
1,0.08352503925561905,0.0
2,0.0771673172712326,0.0
3,0.07217033952474594,0.0
4,0.06815943121910095,0.0
5,0.06180713698267937,0.0
6,0.05613182112574577,0.0
7,0.04803341627120972,0.0
8,0.04275670647621155,0.0
9,0.03712736442685127,0.0
10,0.033520933240652084,0.0
11,0.029200119897723198,0.0
12,0.02638803794980049,0.0
13,0.028014961630105972,0.0
14,0.0294780470430851,0.0
15,0.03226611390709877,0.0
16,0.03378510847687721,0.0
17,0.03685835748910904,0.0
18,0.038310788571834564,0.0
19,0.041320715099573135,0.0
20,0.041745174676179886,0.0
21,0.04386236518621445,0.0
22,0.043902911245822906,0.0
23,0.044655267149209976,0.0
24,0.035368967801332474,0.0
25,0.035134632140398026,0.0
26,0.03205670416355133,0.0
27,0.031493958085775375,0.0
28,0.028928516432642937,0.0
29,0.028517834842205048,0.0
30,0.028319552540779114,0.0
31,0.02881499007344246,0.0
32,0.029587574303150177,0.0
33,0.029734646901488304,0.0
34,0.030695438385009766,0.0
35,0.03035556711256504,0.0
36,0.031030962243676186,0.0
37,0.031165756285190582,0.0
38,0.03190916031599045,0.0
39,0.03219097852706909,0.0
40,0.032974664121866226,0.0
41,0.033393487334251404,0.0
42,0.034251295030117035,0.0
43,0.034820556640625,0.0
44,0.03572499752044678,0.0
45,0.03640226274728775,0.0
46,0.03729919716715813,0.0
47,0.03803465887904167,0.0
48,0.03887266293168068,0.0
49,0.03962395712733269,0.0
50,0.04039594158530235,0.0
