Iteration,birefringence active L2,birefringence active negative penalty
1,3.668168306350708,0.0
2,3.641716957092285,0.0
3,3.613116979598999,0.0
4,3.578294038772583,0.0
5,3.5358831882476807,0.0
6,3.48541522026062,0.0
7,3.4264726638793945,0.0
8,3.3594441413879395,0.0
9,3.284909248352051,0.0
10,3.2036757469177246,0.0
11,3.1160998344421387,0.0
12,3.0309481620788574,0.0
13,2.947720766067505,0.0
14,2.8663017749786377,0.0
15,2.7866404056549072,0.0
16,2.7087595462799072,0.0
17,2.6327366828918457,0.0
18,2.558495044708252,0.0
19,2.4860920906066895,0.0
20,2.4154539108276367,0.0
21,2.3466062545776367,0.0
22,2.279494524002075,0.0
23,2.2141170501708984,0.0
24,2.1504099369049072,0.0
25,2.088362693786621,0.0
26,2.0279221534729004,0.0
27,1.9690817594528198,0.0
28,1.9117988348007202,0.0
29,1.8560714721679688,0.0
30,1.8018617630004883,0.0
31,1.749169945716858,0.0
32,1.6979596614837646,0.0
33,1.6482301950454712,0.0
34,1.599943995475769,0.0
35,1.5530997514724731,0.0
36,1.5076558589935303,0.0
37,1.4636119604110718,0.0
38,1.4209221601486206,0.0
39,1.3795877695083618,0.0
40,1.339558720588684,0.0
41,1.3008390665054321,0.0
42,1.2633745670318604,0.0
43,1.2271701097488403,0.0
44,1.1921709775924683,0.0
45,1.1583995819091797,0.0
46,1.1258028745651245,0.0
47,1.09441077709198,0.0
48,1.064175009727478,0.0
49,1.0351322889328003,0.0
50,1.0072026252746582,0.0
51,0.9803896546363831,0.0
52,0.9545704126358032,0.0
53,0.9297369718551636,0.0
54,0.905768096446991,0.0
55,0.8826791048049927,0.0
56,0.8603649735450745,0.0
57,0.8388584852218628,0.0
58,0.8180626630783081,0.0
59,0.7980185151100159,0.0
60,0.7786353826522827,0.0
61,0.7599352598190308,0.0
62,0.741877555847168,0.0
63,0.7243954539299011,0.0
64,0.7075892686843872,0.0
65,0.6913015842437744,0.0
66,0.6756826043128967,0.0
67,0.6605359315872192,0.0
68,0.6460440754890442,0.0
69,0.6319835186004639,0.0
70,0.6185604929924011,0.0
71,0.605530321598053,0.0
72,0.5930732488632202,0.0
73,0.5810508728027344,0.0
74,0.5695152282714844,0.0
75,0.5584250688552856,0.0
76,0.5477669835090637,0.0
77,0.5375383496284485,0.0
78,0.5277087688446045,0.0
79,0.518281102180481,0.0
80,0.5092265009880066,0.0
81,0.5005450248718262,0.0
82,0.49221205711364746,0.0
83,0.4842241108417511,0.0
84,0.4765612781047821,0.0
85,0.4692170321941376,0.0
86,0.4621753990650177,0.0
87,0.4554271996021271,0.0
88,0.4489607512950897,0.0
89,0.44276389479637146,0.0
90,0.4368293881416321,0.0
91,0.43114179372787476,0.0
92,0.4256989657878876,0.0
93,0.4204810559749603,0.0
94,0.4154927432537079,0.0
95,0.41070759296417236,0.0
96,0.40613946318626404,0.0
97,0.4017520248889923,0.0
98,0.39757317304611206,0.0
99,0.39354994893074036,0.0
100,0.38973280787467957,0.0
