Iteration,birefringence active L2,birefringence active negative penalty
1,20.566347122192383,0.0
2,20.456377029418945,0.0
3,20.338003158569336,0.0
4,20.193462371826172,0.0
5,20.01526641845703,0.0
6,19.798126220703125,0.0
7,19.53879737854004,0.0
8,19.23621368408203,0.0
9,18.890153884887695,0.0
10,18.50121307373047,0.0
11,18.070844650268555,0.0
12,17.64013671875,0.0
13,17.211185455322266,0.0
14,16.785503387451172,0.0
15,16.364164352416992,0.0
16,15.947980880737305,0.0
17,15.537273406982422,0.0
18,15.132494926452637,0.0
19,14.734224319458008,0.0
20,14.342571258544922,0.0
21,13.957745552062988,0.0
22,13.580150604248047,0.0
23,13.20982837677002,0.0
24,12.846866607666016,0.0
25,12.491409301757812,0.0
26,12.143380165100098,0.0
27,11.802664756774902,0.0
28,11.469196319580078,0.0
29,11.142932891845703,0.0
30,10.823830604553223,0.0
31,10.511852264404297,0.0
32,10.20694351196289,0.0
33,9.909055709838867,0.0
34,9.618125915527344,0.0
35,9.334095001220703,0.0
36,9.056896209716797,0.0
37,8.78645133972168,0.0
38,8.522675514221191,0.0
39,8.265475273132324,0.0
40,8.014758110046387,0.0
41,7.770421028137207,0.0
42,7.532365322113037,0.0
43,7.300486087799072,0.0
44,7.074676990509033,0.0
45,6.85482931137085,0.0
46,6.640834331512451,0.0
47,6.432581901550293,0.0
48,6.229964256286621,0.0
49,6.032868385314941,0.0
50,5.8411865234375,0.0
51,5.654808521270752,0.0
52,5.47362756729126,0.0
53,5.297533988952637,0.0
54,5.126424312591553,0.0
55,4.960190296173096,0.0
56,4.798729419708252,0.0
57,4.641940116882324,0.0
58,4.489720344543457,0.0
59,4.3419694900512695,0.0
60,4.19858980178833,0.0
61,4.059483528137207,0.0
62,3.9245550632476807,0.0
63,3.7937097549438477,0.0
64,3.666855812072754,0.0
65,3.5439016819000244,0.0
66,3.4247586727142334,0.0
67,3.309337854385376,0.0
68,3.1975533962249756,0.0
69,3.089320421218872,0.0
70,2.98455548286438,0.0
71,2.883175849914551,0.0
72,2.7851011753082275,0.0
73,2.6902501583099365,0.0
74,2.598543405532837,0.0
75,2.509901523590088,0.0
76,2.424245834350586,0.0
77,2.341498374938965,0.0
78,2.261580467224121,0.0
79,2.1844139099121094,0.0
80,2.109922170639038,0.0
81,2.038029670715332,0.0
82,1.9686592817306519,0.0
83,1.9017378091812134,0.0
84,1.8371917009353638,0.0
85,1.774949312210083,0.0
86,1.7149399518966675,0.0
87,1.6570944786071777,0.0
88,1.601345419883728,0.0
89,1.5476263761520386,0.0
90,1.4958727359771729,0.0
91,1.4460211992263794,0.0
92,1.3980095386505127,0.0
93,1.3517776727676392,0.0
94,1.3072664737701416,0.0
95,1.2644178867340088,0.0
96,1.2231757640838623,0.0
97,1.1834853887557983,0.0
98,1.1452929973602295,0.0
99,1.1085474491119385,0.0
100,1.0731979608535767,0.0
