Iteration,birefringence active L2,birefringence active negative penalty
1,14.734808921813965,0.0
2,14.616950035095215,0.0
3,14.489574432373047,0.0
4,14.334253311157227,0.0
5,14.144341468811035,0.0
6,13.916799545288086,0.0
7,13.650688171386719,0.0
8,13.346579551696777,0.0
9,13.006199836730957,0.0
10,12.632171630859375,0.0
11,12.227781295776367,0.0
12,11.831863403320312,0.0
13,11.444975852966309,0.0
14,11.067526817321777,0.0
15,10.699769973754883,0.0
16,10.341825485229492,0.0
17,9.99368953704834,0.0
18,9.655261039733887,0.0
19,9.32636833190918,0.0
20,9.006790161132812,0.0
21,8.696268081665039,0.0
22,8.39453411102295,0.0
23,8.101308822631836,0.0
24,7.816325664520264,0.4107706844806671
25,7.564386367797852,0.0
26,7.298278331756592,0.0
27,7.039519786834717,0.0
28,6.787907600402832,0.0
29,6.543244361877441,0.0
30,6.3053483963012695,0.0
31,6.074047565460205,0.0
32,5.84918737411499,0.0
33,5.630626201629639,0.0
34,5.418229103088379,0.10500437766313553
35,5.249599933624268,0.0
36,5.053713321685791,0.0
37,4.863315582275391,0.0
38,4.678303241729736,0.0
39,4.498585224151611,0.0
40,4.324073314666748,0.0
41,4.1546854972839355,0.0
42,3.9903404712677,0.0
43,3.8309600353240967,0.0
44,3.676464557647705,0.0
45,3.5267772674560547,0.0
46,3.3818178176879883,0.0
47,3.2415077686309814,0.0
48,3.1057651042938232,0.0
49,2.9745068550109863,0.0
50,2.847648859024048,0.0
51,2.725104808807373,0.0
52,2.6067869663238525,0.0
53,2.492607593536377,0.0
54,2.3824760913848877,0.0
55,2.2763025760650635,0.0
56,2.173995018005371,0.0
57,2.0754616260528564,0.0
58,1.980608344078064,0.0
59,1.8893437385559082,0.0
60,1.8015730381011963,0.0
61,1.7172036170959473,0.0
62,1.6361421346664429,0.0
63,1.5582958459854126,0.0
64,1.4835726022720337,0.0
65,1.4118804931640625,0.0
66,1.3431285619735718,0.0
67,1.2772270441055298,0.0
68,1.2140872478485107,0.0
69,1.153620719909668,0.0
70,1.0957415103912354,0.0
71,1.0403636693954468,0.0
72,0.9874033331871033,0.0
73,0.9367781281471252,0.0
74,0.8884068131446838,0.0
75,0.8422098159790039,0.0
76,0.7981092929840088,0.0
77,0.7560290098190308,0.0
78,0.7158941030502319,0.0
79,0.6776318550109863,0.0
80,0.641170859336853,0.0
81,0.606441855430603,0.0
82,0.5733771324157715,0.0
83,0.541910707950592,0.0
84,0.5119783282279968,0.0
85,0.4835178554058075,0.0
86,0.4564686417579651,0.0
87,0.4307718276977539,0.0
88,0.4063703417778015,0.0
89,0.3832090497016907,0.0
90,0.36123421788215637,0.0
91,0.34039413928985596,0.0
92,0.3206386864185333,0.0
93,0.30191925168037415,0.0
94,0.2841893136501312,0.0
95,0.2674035131931305,0.0
96,0.2515184283256531,0.0
97,0.23649197816848755,0.0
98,0.22228378057479858,0.0
99,0.20885485410690308,0.0
100,0.19616778194904327,0.0
