Total Loss,Data Term Loss,Regularization Term Loss,Optic Axis Learning Rate,Birefringence Learning Rate
150.10635375976562,2.758269786834717,147.34808349609375,0.019000000000000003,1.9e-05
148.6925811767578,2.523090362548828,146.16949462890625,0.028000000000000004,2.8000000000000003e-05
147.2024383544922,2.306684970855713,144.895751953125,0.037,3.7e-05
145.44265747070312,2.100128650665283,143.342529296875,0.04600000000000001,4.600000000000001e-05
143.36253356933594,1.9191062450408936,141.44342041015625,0.05500000000000001,5.500000000000001e-05
140.94345092773438,1.7754533290863037,139.16799926757812,0.064,6.400000000000001e-05
138.1763153076172,1.6694316864013672,136.5068817138672,0.073,7.3e-05
135.06015014648438,1.5943660736083984,133.46578979492188,0.08200000000000002,8.200000000000001e-05
131.60362243652344,1.541624903678894,130.06199645996094,0.09100000000000001,9.1e-05
127.82429504394531,1.5025780200958252,126.32171630859375,0.1,0.0001
123.74688720703125,1.4690666198730469,122.27781677246094,0.1,0.0001
119.75526428222656,1.4366289377212524,118.31863403320312,0.1,0.0001
115.85096740722656,1.4012043476104736,114.44976043701172,0.1,0.0001
112.03713989257812,1.36186945438385,110.6752700805664,0.1,0.0001
108.31686401367188,1.3191688060760498,106.99769592285156,0.1,0.0001
104.6924057006836,1.2741446495056152,103.41825866699219,0.1,0.0001
101.16478729248047,1.2278929948806763,99.93689727783203,0.1,0.0001
97.7340316772461,1.1814192533493042,96.5526123046875,0.1,0.0001
94.3992919921875,1.1356043815612793,93.26368713378906,0.1,0.0001
91.15911102294922,1.091208577156067,90.06790161132812,0.1,0.0001
88.01155090332031,1.048874855041504,86.96267700195312,0.1,0.0001
84.9544677734375,1.009128212928772,83.94534301757812,0.1,0.0001
81.98546600341797,0.9723731875419617,81.01309204101562,0.1,0.0001
83.20985412597656,0.93888920545578,82.27096557617188,0.1,0.0001
76.5335922241211,0.8897295594215393,75.64385986328125,0.1,0.0001
73.84920501708984,0.8664218783378601,72.98278045654297,0.1,0.0001
71.24134826660156,0.8461527228355408,70.39519500732422,0.1,0.0001
68.70787048339844,0.8287941813468933,67.87907409667969,0.1,0.0001
66.2466049194336,0.814166247844696,65.43244171142578,0.1,0.0001
63.855525970458984,0.8020431995391846,63.05348205566406,0.1,0.0001
61.53263854980469,0.7921624779701233,60.740474700927734,0.1,0.0001
59.27611541748047,0.7842407822608948,58.49187469482422,0.1,0.0001
57.08425521850586,0.7779906988143921,56.3062629699707,0.1,0.0001
56.005489349365234,0.7731558680534363,55.23233413696289,0.1,0.0001
53.26360321044922,0.7676038146018982,52.49599838256836,0.1,0.0001
51.305049896240234,0.7679188251495361,50.537132263183594,0.1,0.0001
49.401771545410156,0.7686150074005127,48.633155822753906,0.1,0.0001
47.55244064331055,0.7694090604782104,46.78303146362305,0.1,0.0001
45.75605392456055,0.7702025175094604,44.9858512878418,0.1,0.0001
44.01169967651367,0.7709640860557556,43.2407341003418,0.1,0.0001
42.318538665771484,0.7716814875602722,41.54685592651367,0.1,0.0001
40.675682067871094,0.7722766399383545,39.903404235839844,0.1,0.0001
39.08224105834961,0.7726407051086426,38.309600830078125,0.1,0.0001
37.53738784790039,0.7727421522140503,36.764644622802734,0.1,0.0001
36.04032897949219,0.7725571990013123,35.26777267456055,0.1,0.0001
34.5902099609375,0.7720353603363037,33.81817626953125,0.1,0.0001
33.18633270263672,0.7712536454200745,32.415077209472656,0.1,0.0001
31.82798194885254,0.7703297734260559,31.05765151977539,0.1,0.0001
30.51449966430664,0.7694326639175415,29.745067596435547,0.1,0.0001
29.245195388793945,0.7687074542045593,28.47648811340332,0.1,0.0001
28.019290924072266,0.7682420015335083,27.251049041748047,0.1,0.0001
26.83588409423828,0.7680152654647827,26.067869186401367,0.1,0.0001
25.694040298461914,0.7679649591445923,24.926074981689453,0.1,0.0001
24.592819213867188,0.7680588364601135,23.82476043701172,0.1,0.0001
23.531330108642578,0.7683051824569702,22.763025283813477,0.1,0.0001
22.5086669921875,0.7687174081802368,21.73995018005371,0.1,0.0001
21.523927688598633,0.7693119049072266,20.754615783691406,0.1,0.0001
20.576175689697266,0.7700928449630737,19.80608367919922,0.1,0.0001
19.66448974609375,0.7710524201393127,18.893436431884766,0.1,0.0001
18.787904739379883,0.7721744775772095,18.015729904174805,0.1,0.0001
17.945470809936523,0.7734361886978149,17.172035217285156,0.1,0.0001
17.136234283447266,0.7748117446899414,16.361421585083008,0.1,0.0001
16.359233856201172,0.7762758135795593,15.582958221435547,0.1,0.0001
15.613530158996582,0.7778046131134033,14.835725784301758,0.1,0.0001
14.898181915283203,0.7793770432472229,14.118804931640625,0.1,0.0001
14.212261199951172,0.7809758186340332,13.431285858154297,0.1,0.0001
13.554856300354004,0.7825860977172852,12.772270202636719,0.1,0.0001
12.925069808959961,0.7841971516609192,12.140872955322266,0.1,0.0001
12.322007179260254,0.785800039768219,11.53620719909668,0.1,0.0001
11.744803428649902,0.7873883843421936,10.957414627075195,0.1,0.0001
11.192594528198242,0.7889575362205505,10.403636932373047,0.1,0.0001
10.66453742980957,0.790504515171051,9.874032974243164,0.1,0.0001
10.159808158874512,0.792026937007904,9.367781639099121,0.1,0.0001
9.677592277526855,0.7935237884521484,8.884068489074707,0.1,0.0001
9.217092514038086,0.7949939966201782,8.422098159790039,0.1,0.0001
8.777530670166016,0.7964372634887695,7.981092929840088,0.1,0.0001
8.35814380645752,0.7978537678718567,7.560290336608887,0.1,0.0001
7.958184719085693,0.7992435097694397,7.158941268920898,0.1,0.0001
7.576925277709961,0.8006067276000977,6.776318550109863,0.1,0.0001
