Iteration,birefringence active L2,birefringence active negative penalty
1,2.8613643646240234,0.0
2,2.8531084060668945,0.0
3,2.8456614017486572,0.0
4,2.838111639022827,0.0
5,2.8308777809143066,0.0
6,2.824742555618286,0.0
7,2.820585250854492,0.0
8,2.8192508220672607,0.0
9,2.8213696479797363,0.0
10,2.827174663543701,0.0
11,2.836440086364746,0.0
12,2.8477413654327393,0.0
13,2.86012864112854,0.0
14,2.87286639213562,0.0
15,2.885586977005005,0.0
16,2.8979408740997314,0.0
17,2.9098854064941406,0.0
18,2.9212958812713623,0.0
19,2.932304620742798,0.0
20,2.94295597076416,0.0
21,2.953413963317871,0.0
22,2.963749408721924,0.0
23,2.97409987449646,0.0
24,2.984506607055664,0.0
25,2.995054006576538,0.0
26,3.005835771560669,0.0
27,3.0168492794036865,0.0
28,3.028165340423584,0.0
29,3.0397510528564453,0.0
30,3.051663398742676,0.0
31,3.0638935565948486,0.0
32,3.0764615535736084,0.0
33,3.0893747806549072,0.0
34,3.1025891304016113,0.0
35,3.116126298904419,0.0
36,3.129923105239868,0.0
37,3.1439900398254395,0.0
38,3.158243417739868,0.0
39,3.1727004051208496,0.0
40,3.1872763633728027,0.0
41,3.2019731998443604,0.0
42,3.216737747192383,0.0
43,3.231543779373169,0.0
44,3.2463347911834717,0.0
45,3.261094331741333,0.0
46,3.2757604122161865,0.0
47,3.290341854095459,0.0
48,3.304776906967163,0.0
49,3.3190536499023438,0.0
50,3.3331298828125,0.0
