Iteration,birefringence active L2,birefringence active negative penalty
1,1.6452032327651978,0.0
2,1.637728214263916,0.0
3,1.629847526550293,0.0
4,1.6205940246582031,0.0
5,1.6096552610397339,0.0
6,1.597119927406311,0.0
7,1.5830068588256836,0.0
8,1.5678130388259888,0.0
9,1.551063060760498,0.0
10,1.5340592861175537,0.0
11,1.513714075088501,0.0
12,1.494949460029602,0.0
13,1.4789494276046753,0.0
14,1.4633680582046509,0.0
15,1.4481310844421387,0.0
16,1.4331830739974976,0.0
17,1.4185000658035278,0.0
18,1.4040632247924805,0.0
19,1.3898574113845825,0.0
20,1.3758641481399536,0.0
21,1.3620644807815552,0.0
22,1.348445177078247,0.0
23,1.3353486061096191,0.0
24,1.3225394487380981,0.0
25,1.30967378616333,0.0
26,1.296453833580017,0.0
27,1.2810921669006348,0.0
28,1.2641751766204834,0.0
29,1.2463535070419312,0.0
30,1.2294137477874756,0.0
31,1.214277982711792,0.0
32,1.2031904458999634,0.0
33,1.1927882432937622,0.0
34,1.1825989484786987,0.0
35,1.1727558374404907,0.0
36,1.1630226373672485,0.0
37,1.1537312269210815,0.0
38,1.14464271068573,0.0
39,1.1359807252883911,0.0
40,1.1274913549423218,0.0
41,1.1192710399627686,0.0
42,1.1111828088760376,0.0
43,1.1032638549804688,0.0
44,1.0954809188842773,0.0
45,1.087823510169983,0.0
46,1.0802873373031616,0.0
47,1.0728687047958374,0.0
48,1.0655590295791626,0.0
49,1.0583544969558716,0.0
50,1.0512464046478271,0.0
51,1.044230580329895,0.0
52,1.0372999906539917,0.0
53,1.030454158782959,0.0
54,1.0236846208572388,0.0
55,1.016987681388855,0.0
56,1.0103588104248047,0.0
57,1.0037916898727417,0.0
58,0.9972847700119019,0.0
59,0.9908316135406494,0.0
60,0.9844303131103516,0.0
61,0.9780771732330322,0.0
62,0.9717686772346497,0.0
63,0.9655433297157288,0.0
64,0.9594103097915649,0.0
65,0.9532861113548279,0.0
66,0.9471794366836548,0.0
67,0.9405751824378967,0.0
68,0.9330418109893799,0.0
69,0.9229621887207031,0.0
70,0.9108724594116211,0.0
71,0.8966078162193298,0.0
72,0.8862250447273254,0.0
73,0.8773552179336548,0.0
74,0.869562029838562,0.0
75,0.8615878820419312,0.0
76,0.8531014919281006,0.0
77,0.8448218107223511,0.0
78,0.8387494683265686,0.0
79,0.8333570957183838,0.0
80,0.8284080624580383,0.0
81,0.8237991333007812,0.0
82,0.8193974494934082,0.0
83,0.8151633739471436,0.0
84,0.8110338449478149,0.0
85,0.8070402145385742,0.0
86,0.8031564354896545,0.0
87,0.7994194626808167,0.0
88,0.7957863807678223,0.0
89,0.7922700047492981,0.0
90,0.7888361811637878,0.0
91,0.7854872941970825,0.0
92,0.7822030782699585,0.0
93,0.7789839506149292,0.0
94,0.7758198380470276,0.0
95,0.7727090716362,0.0
96,0.7696454524993896,0.0
97,0.7666277289390564,0.0
98,0.7636507749557495,0.0
99,0.7607133984565735,0.0
100,0.7578116655349731,0.0
