Iteration,birefringence active L2,birefringence active negative penalty
1,0.9282987117767334,0.0
2,0.924590528011322,0.0
3,0.9207258820533752,0.0
4,0.9161234498023987,0.0
5,0.9107747673988342,0.0
6,0.9046670198440552,0.0
7,0.8981339931488037,0.0
8,0.8911834955215454,0.0
9,0.8846223950386047,0.0
10,0.8781901001930237,0.0
11,0.8730363249778748,0.0
12,0.8691033124923706,0.0
13,0.8668494820594788,0.0
14,0.8658813238143921,0.0
15,0.8660722970962524,0.0
16,0.8669302463531494,0.0
17,0.868584930896759,0.0
18,0.8706594705581665,0.0
19,0.8730688691139221,0.0
20,0.8755761384963989,0.0
21,0.8783278465270996,0.0
22,0.8810461759567261,0.0
23,0.8838896155357361,0.0
24,0.8867000937461853,0.0
25,0.8894219398498535,0.0
26,0.8921494483947754,0.0
27,0.894648015499115,0.0
28,0.8973270058631897,0.0
29,0.8995234370231628,0.0
30,0.9020305275917053,0.0
31,0.9045622944831848,0.0
32,0.9062576293945312,0.0
33,0.9087128043174744,0.0
34,0.9107369184494019,0.0
35,0.9127341508865356,0.0
36,0.9147154092788696,0.0
37,0.9161044955253601,0.0
38,0.9176156520843506,0.0
39,0.9188884496688843,0.0
40,0.9203242659568787,0.0
41,0.9215573072433472,0.0
42,0.922866940498352,0.0
43,0.9239888787269592,0.0
44,0.9248039722442627,0.0
45,0.9259665012359619,0.0
46,0.9268346428871155,0.0
47,0.927864670753479,0.0
48,0.9288461804389954,0.0
49,0.9295637011528015,0.0
50,0.9303894639015198,0.0
51,0.9310968518257141,0.0
52,0.9319036602973938,0.0
53,0.9326187968254089,0.0
54,0.9333963990211487,0.0
55,0.9339888095855713,0.0
56,0.9345970749855042,0.0
57,0.9351930618286133,0.0
58,0.9357975721359253,0.0
59,0.9363974928855896,0.0
60,0.9370039105415344,0.0
61,0.9374873042106628,0.0
62,0.9379737377166748,0.0
63,0.9384592771530151,0.0
64,0.9389477968215942,0.0
65,0.9394370317459106,0.0
66,0.9399284720420837,0.0
67,0.9403226375579834,0.0
68,0.9407182335853577,0.0
69,0.9411143660545349,0.0
70,0.9415121078491211,0.0
71,0.9419110417366028,0.0
72,0.9423113465309143,0.0
73,0.9427132606506348,0.0
74,0.9431167244911194,0.0
75,0.9435216188430786,0.0
76,0.943928062915802,0.0
77,0.9443362355232239,0.0
78,0.9447459578514099,0.0
79,0.9451573491096497,0.0
80,0.9455702304840088,0.0
81,0.9459848999977112,0.0
82,0.9464009404182434,0.0
83,0.9468185305595398,0.0
84,0.9472375512123108,0.0
85,0.9476580023765564,0.0
86,0.9480798840522766,0.0
87,0.9485030174255371,0.0
88,0.9489272832870483,0.0
89,0.9493529200553894,0.0
90,0.949779748916626,0.0
91,0.9502075910568237,0.0
92,0.9506363272666931,0.0
93,0.9510661363601685,0.0
94,0.9514968395233154,0.0
95,0.9519280791282654,0.0
96,0.9523602724075317,0.0
97,0.9527931213378906,0.0
98,0.953226625919342,0.0
99,0.9536606669425964,0.0
100,0.954095184803009,0.0
