Iteration,birefringence active L2,birefringence active negative penalty
1,14.734808921813965,0.0
2,14.616950035095215,0.0
3,14.489574432373047,0.0
4,14.334253311157227,0.0
5,14.144341468811035,0.0
6,13.916799545288086,0.0
7,13.650688171386719,0.0
8,13.346579551696777,0.0
9,13.006199836730957,0.0
10,12.632171630859375,0.0
11,12.227781295776367,0.0
12,11.831863403320312,0.0
13,11.444975852966309,0.0
14,11.067526817321777,0.0
15,10.699769973754883,0.0
16,10.341825485229492,0.0
17,9.99368953704834,0.0
18,9.655261039733887,0.0
